date,web_traffic,page_views,clicks,impressions,ctr,bounce_rate,avg_session_duration_sec,new_users,returning_users,conversions,conversion_rate,ad_spend_usd,organic_search,referral_traffic,promo_flag,holiday_flag
2020-01-01,2922,2925,225,4843,0.0465,0.4673,174.7,849,2076,11,0.0489,7.31,1511,342,0,1
2020-01-02,2646,2647,183,3679,0.0497,0.4066,118.0,921,1726,8,0.0437,7.37,1492,369,0,0
2020-01-03,2451,2417,114,3230,0.0353,0.3708,159.6,823,1594,3,0.0263,6.41,1215,135,1,0
2020-01-04,2366,2319,172,3477,0.0495,0.1312,152.4,764,1555,4,0.0233,6.75,1171,254,0,0
2020-01-05,2205,2181,123,3197,0.0385,0.1525,200.0,727,1454,4,0.0325,4.23,1248,233,0,0
2020-01-06,2476,2475,129,3488,0.037,0.3252,200.0,669,1806,4,0.031,5.16,1348,133,0,0
2020-01-07,3077,2986,152,4895,0.0311,0.483,190.7,892,2094,6,0.0395,8.28,1872,303,0,0
2020-01-08,3029,2962,156,5009,0.0311,0.3692,158.4,990,1972,7,0.0449,11.32,1749,329,0,0
2020-01-09,2680,2610,174,3961,0.0439,0.243,150.9,676,1934,9,0.0517,5.11,1483,180,0,0
2020-01-10,2464,2405,169,4318,0.0391,0.3352,165.2,828,1577,7,0.0414,9.43,1350,186,0,0
2020-01-11,2157,2081,91,2646,0.0344,0.2647,172.8,546,1535,4,0.044,3.19,1196,237,0,0
2020-01-12,2179,2153,133,3146,0.0423,0.2173,194.4,625,1528,5,0.0376,7.18,1090,208,0,0
2020-01-13,2584,2530,120,3432,0.035,0.3007,200.0,775,1755,3,0.025,6.2,1604,344,0,0
2020-01-14,2604,2564,120,2889,0.0415,0.3797,186.6,878,1686,4,0.0333,4.32,1666,216,0,0
2020-01-15,2687,2658,147,3943,0.0373,0.453,166.5,629,2029,5,0.034,6.78,1401,204,0,0
2020-01-16,2557,2593,178,3826,0.0465,0.3621,111.3,809,1784,8,0.0449,4.62,1343,385,0,0
2020-01-17,2207,2213,185,3989,0.0464,0.3313,172.4,615,1598,5,0.027,4.83,1154,312,0,0
2020-01-18,2159,2168,139,3526,0.0394,0.1098,179.3,521,1647,4,0.0288,3.42,1299,115,0,0
2020-01-19,2117,2093,100,2711,0.0369,0.229,183.2,662,1431,3,0.03,2.63,1254,266,0,0
2020-01-20,2289,2323,162,4346,0.0373,0.2937,200.0,657,1666,8,0.0494,5.74,1457,142,0,0
2020-01-21,2947,2958,238,5159,0.0461,0.4154,200.0,885,2073,8,0.0336,10.03,1813,156,0,0
2020-01-22,2733,2825,167,4566,0.0366,0.4206,152.6,702,2123,7,0.0419,7.82,1603,219,1,0
2020-01-23,2585,2656,132,3864,0.0342,0.4333,170.1,723,1933,6,0.0455,3.69,1572,204,0,0
2020-01-24,2114,2151,89,2814,0.0316,0.2136,160.9,629,1522,2,0.0225,5.85,1298,284,0,0
2020-01-25,2018,2053,115,2927,0.0393,0.2548,181.2,535,1518,4,0.0348,4.98,1184,249,0,0
2020-01-26,2137,2202,150,3782,0.0397,0.2997,190.2,506,1696,7,0.0467,8.48,1258,326,0,0
2020-01-27,2330,2338,205,4388,0.0467,0.4428,200.0,805,1533,7,0.0341,7.92,1395,283,0,0
2020-01-28,2775,2809,175,5080,0.0344,0.4041,193.5,777,2032,8,0.0457,5.4,1639,258,0,0
2020-01-29,2734,2760,146,3870,0.0377,0.4637,184.4,856,1904,4,0.0274,5.85,1647,331,0,0
2020-01-30,2580,2593,153,3309,0.0462,0.3032,114.9,678,1915,3,0.0196,5.87,1535,389,0,0
2020-01-31,2272,2232,159,3411,0.0466,0.187,144.3,565,1667,7,0.044,2.87,1357,270,0,0
2020-02-01,2366,2323,100,2663,0.0376,0.2947,200.0,606,1717,5,0.05,2.19,1385,293,0,0
2020-02-02,2244,2167,133,3391,0.0392,0.2715,183.4,566,1601,7,0.0526,3.37,1252,312,0,0
2020-02-03,2373,2327,123,3422,0.0359,0.4089,197.9,655,1672,5,0.0407,4.03,1401,143,0,0
2020-02-04,2931,2836,194,3990,0.0486,0.3595,189.7,798,2038,9,0.0464,5.76,1609,342,1,0
2020-02-05,2707,2657,102,3138,0.0325,0.4735,149.0,730,1927,5,0.049,4.8,1425,359,1,0
2020-02-06,2670,2626,205,4209,0.0487,0.4868,108.8,578,2048,9,0.0439,4.24,1314,382,0,0
2020-02-07,2081,2044,124,2848,0.0435,0.3276,148.4,561,1483,5,0.0403,5.16,1194,145,0,0
2020-02-08,1962,1918,99,2428,0.0408,0.2663,176.0,432,1486,3,0.0303,4.11,1129,193,0,0
2020-02-09,2212,2168,62,2007,0.0309,0.2722,197.7,475,1693,3,0.0484,2.49,1400,256,0,0
2020-02-10,2536,2513,148,3756,0.0394,0.2715,200.0,854,1659,5,0.0338,3.08,1393,188,0,0
2020-02-11,2743,2724,193,5052,0.0382,0.496,199.6,792,1932,7,0.0363,4.63,1523,300,1,0
2020-02-12,2802,2754,168,5046,0.0333,0.4169,193.8,823,1931,6,0.0357,7.0,1460,209,0,0
2020-02-13,2537,2531,154,3565,0.0432,0.4186,149.2,659,1872,6,0.039,3.68,1292,211,1,0
2020-02-14,2030,2071,141,2857,0.0494,0.2285,141.5,697,1374,5,0.0355,3.9,1276,195,0,0
2020-02-15,1910,1963,129,3129,0.0412,0.1935,167.7,580,1383,3,0.0233,5.45,1055,202,0,0
2020-02-16,1986,2059,119,2677,0.0445,0.3436,200.0,649,1410,6,0.0504,4.34,1218,195,0,0
2020-02-17,2453,2516,123,3926,0.0313,0.3326,200.0,642,1874,4,0.0325,4.5,1518,250,0,0
2020-02-18,2640,2705,172,4472,0.0385,0.5008,186.1,931,1774,6,0.0349,5.88,1544,216,0,0
2020-02-19,2449,2515,142,4390,0.0323,0.4436,175.3,813,1702,3,0.0211,7.56,1588,166,0,0
2020-02-20,2531,2566,160,3798,0.0421,0.3013,159.7,842,1724,3,0.0188,7.94,1454,140,0,0
2020-02-21,2081,2167,154,3162,0.0487,0.3512,133.1,489,1678,4,0.026,6.1,1176,151,0,0
2020-02-22,1858,1935,111,2563,0.0433,0.223,173.7,466,1469,5,0.045,4.18,1228,209,0,0
2020-02-23,2047,2152,91,2872,0.0317,0.3068,169.4,523,1629,2,0.022,3.86,1354,277,0,0
2020-02-24,2406,2473,133,3597,0.037,0.3513,174.6,595,1878,6,0.0451,4.85,1297,166,0,0
2020-02-25,2707,2729,176,4294,0.041,0.351,200.0,896,1833,5,0.0284,9.1,1375,166,0,0
2020-02-26,2540,2578,165,4338,0.038,0.4557,165.6,528,2050,4,0.0242,3.73,1324,322,0,0
2020-02-27,2418,2445,153,3275,0.0467,0.5032,157.0,517,1928,4,0.0261,7.47,1328,197,0,0
2020-02-28,2192,2212,184,3978,0.0463,0.3313,152.6,533,1679,4,0.0217,7.15,1429,321,0,0
2020-02-29,2046,2095,128,3029,0.0423,0.2496,153.8,482,1613,6,0.0469,5.52,1223,254,0,0
2020-03-01,1970,1982,111,2965,0.0374,0.3256,197.8,465,1517,5,0.045,2.54,1102,164,0,0
2020-03-02,2299,2282,108,3082,0.035,0.3605,185.3,730,1552,4,0.037,5.26,1445,180,0,0
2020-03-03,2483,2434,79,2471,0.032,0.4387,200.0,692,1742,2,0.0253,3.77,1382,249,1,0
2020-03-04,2522,2482,154,4162,0.037,0.3929,146.2,499,1983,4,0.026,3.99,1358,144,0,0
2020-03-05,2594,2530,159,4168,0.0381,0.4051,149.1,669,1861,5,0.0314,5.07,1622,156,0,0
2020-03-06,2302,2291,144,3308,0.0435,0.3584,132.1,598,1693,7,0.0486,7.06,1437,155,0,0
2020-03-07,1931,1929,126,2919,0.0432,0.2107,184.7,419,1510,3,0.0238,4.74,1209,246,0,0
2020-03-08,2114,2117,107,3394,0.0315,0.343,192.1,638,1479,4,0.0374,4.82,1221,215,0,0
