ds,y,unique_visitors,sessions,bounce_rate,avg_session_duration,pages_per_session,ad_spend,seo_score,social_trend_index,campaign_flag,holiday_flag,weekday,month
2022-01-01 00:00:00,2497,845,868,0.420582857,168.5150141,3.28967387,61.27241207,58.96796775,46.1243532,0,1,5,1
2022-01-02 00:00:00,2535,838,888,0.44201447,179.3616383,3.291145862,54.67509342,60.11117762,53.28309095,0,0,6,1
2022-01-03 00:00:00,2981,962,1004,0.46761773,191.905247,3.454686979,41.40707537,59.98306558,60.07770181,0,0,0,1
2022-01-04 00:00:00,3048,1021,1015,0.461984838,191.5880663,3.486766121,53.68750784,61.9217787,57.63343101,0,0,1,1
2022-01-05 00:00:00,2962,1048,1041,0.420950826,201.3411105,3.255885935,40.41117399,61.65021383,56.68967851,0,0,2,1
2022-01-06 00:00:00,2809,1095,1035,0.451595744,180.856896,3.140588062,58.78450301,61.36351383,57.48837284,0,0,3,1
2022-01-07 00:00:00,1954,834,745,0.519219564,161.4068221,3.105790491,49.50074089,61.18518877,58.5182592,0,0,4,1
2022-01-08 00:00:00,2163,820,855,0.456784021,149.0384327,2.930672338,48.15137636,61.60283925,59.23811197,0,0,5,1
2022-01-09 00:00:00,2468,791,922,0.435068128,159.9876373,3.077781076,43.19070456,60.51620442,58.61585952,0,0,6,1
2022-01-10 00:00:00,3031,918,1046,0.444787128,182.4960563,3.343108799,62.22541339,62.40229533,61.758623,0,0,0,1
2022-01-11 00:00:00,3827,1194,1195,0.446901577,176.5184781,3.698387581,48.45470518,60.59805646,52.61868752,0,0,1,1
2022-01-12 00:00:00,3665,1101,1164,0.438152989,199.0350212,3.625726514,45.71672178,62.70840996,58.82089817,0,0,2,1
2022-01-13 00:00:00,2622,1036,1012,0.445805231,203.837926,2.99199965,46.4786645,63.21982572,53.19977782,0,0,3,1
2022-01-14 00:00:00,2096,869,856,0.409950724,182.5414359,2.792600628,55.32309186,62.40272034,53.3560527,0,0,4,1
2022-01-15 00:00:00,1900,732,724,0.428433045,154.649601,3.009166408,53.65444064,62.17114475,46.61903627,0,0,5,1
2022-01-16 00:00:00,3001,969,1007,0.451383679,150.3946413,3.44661205,54.12732612,62.90030991,51.76068386,0,0,6,1
2022-01-17 00:00:00,3139,961,1000,0.445041961,184.5983031,3.622463368,54.30821003,59.78807795,49.39806749,0,0,0,1
2022-01-18 00:00:00,3369,1119,1189,0.427150586,172.4623471,3.249521815,71.41647601,63.09822274,46.64387356,0,0,1,1
2022-01-19 00:00:00,3006,960,1040,0.437377633,210.6000994,3.327879029,45.93584984,62.82557226,37.63742085,0,0,2,1
2022-01-20 00:00:00,2494,949,980,0.448576318,186.5418002,2.939309041,44.87757271,63.02767926,43.47767453,0,0,3,1
2022-01-21 00:00:00,2109,815,857,0.479936532,189.6353284,2.872815695,41.86227272,63.92047056,41.46528614,0,0,4,1
2022-01-22 00:00:00,2286,817,813,0.454335607,143.2317869,3.254176624,56.15979423,63.27088411,35.18418626,0,0,5,1
2022-01-23 00:00:00,2474,1025,1007,0.467836832,173.5448326,2.856585507,61.28972293,62.333085,40.17782873,0,0,6,1
2022-01-24 00:00:00,2605,1001,976,0.433751991,178.9949116,3.069492248,48.86052542,63.45529633,42.08391479,0,0,0,1
2022-01-25 00:00:00,3278,1054,1141,0.461299136,192.3261243,3.334181427,41.59843523,63.78327961,43.849911,0,0,1,1
2022-01-26 00:00:00,3482,1135,1172,0.45395995,185.8001236,3.438156343,41.75518784,63.94515613,44.29688608,0,1,2,1
2022-01-27 00:00:00,2756,1033,988,0.472720382,194.6351538,3.249580716,56.50592788,64.10197314,46.53485686,0,0,3,1
2022-01-28 00:00:00,2764,1021,1069,0.474657942,178.0836991,3.013807886,57.43254171,65.08445402,52.19562484,0,0,4,1
2022-01-29 00:00:00,2466,919,907,0.474974028,178.3527198,3.168431705,55.43154268,63.05915331,53.67810173,0,0,5,1
2022-01-30 00:00:00,2304,844,956,0.452911214,174.443873,2.788488518,43.34490293,64.41594094,43.62404448,0,0,6,1
2022-01-31 00:00:00,3481,1088,1111,0.457348177,174.0610467,3.630932614,52.32161323,65.62005672,53.38652173,0,0,0,1
2022-02-01 00:00:00,3628,1136,1231,0.476041532,185.5980038,3.437473194,51.16685809,62.68012647,55.74094494,0,0,1,2
2022-02-02 00:00:00,4458,1311,1448,0.423125804,185.8136439,3.526993085,52.18688597,64.67361691,52.56201911,0,0,2,2
2022-02-03 00:00:00,2659,1064,1066,0.427893639,203.4099182,2.860744667,58.71428778,63.98234879,59.29223785,0,0,3,2
2022-02-04 00:00:00,2373,892,940,0.45869707,163.5405824,2.927309539,52.23595549,64.26520889,63.49555244,0,0,4,2
2022-02-05 00:00:00,2709,982,1058,0.46977035,175.3037404,2.980548779,56.78913563,63.7936556,56.74029642,0,0,5,2
2022-02-06 00:00:00,2677,864,912,0.431140541,169.6140908,3.372255845,50.67579069,64.58573187,60.75848194,0,0,6,2
2022-02-07 00:00:00,3014,1060,1132,0.447757123,183.2990288,3.076214382,52.89119399,66.64756409,56.26221825,0,0,0,2
2022-02-08 00:00:00,3260,1090,1072,0.441316301,192.5679465,3.506042767,56.31288226,63.58704827,55.80257875,0,0,1,2
2022-02-09 00:00:00,3885,1285,1384,0.376229637,206.1052874,3.163647164,35.4284418,63.721128,60.66707892,0,0,2,2
2022-02-10 00:00:00,3142,1094,1122,0.440158052,188.5229672,3.226528961,46.80328784,63.62210419,52.71116393,0,0,3,2
2022-02-11 00:00:00,2892,1016,1084,0.448534593,167.6301923,3.081761507,45.29627346,66.67875863,53.61184681,0,0,4,2
2022-02-12 00:00:00,2541,841,921,0.452503171,167.4614896,3.190728673,43.61122152,64.51026977,44.38634565,0,0,5,2
2022-02-13 00:00:00,2727,975,1057,0.498341164,162.9236493,3.034099746,47.24857749,64.96218119,53.36174334,0,0,6,2
2022-02-14 00:00:00,4273,1277,1363,0.413526051,172.0166522,3.578710603,64.94941311,64.59417119,47.46911995,0,0,0,2
2022-02-15 00:00:00,4028,1129,1222,0.419397587,201.6348974,3.772072575,41.34168884,64.05557712,43.21760245,0,0,1,2
2022-02-16 00:00:00,3452,1171,1270,0.364322167,198.8587017,3.052044829,59.68278355,64.76180349,43.90832471,0,0,2,2
2022-02-17 00:00:00,3043,957,1077,0.432318372,193.5667749,3.247898736,33.17130228,67.44606386,36.76085303,0,0,3,2
2022-02-18 00:00:00,2808,990,1038,0.441384821,166.7837266,3.11802045,46.6511497,66.3646804,43.7983131,0,0,4,2
2022-02-19 00:00:00,2364,894,946,0.442012644,148.4102287,2.881549347,51.62753065,64.09840253,39.02804567,0,0,5,2
2022-02-20 00:00:00,2455,905,992,0.489094056,181.71411,2.898950922,55.86222331,65.57161287,39.63851233,0,0,6,2
2022-02-21 00:00:00,3316,1053,1080,0.475818526,195.4661141,3.581856457,57.1122658,64.05921523,39.51534448,0,0,0,2
2022-02-22 00:00:00,3648,1314,1292,0.446471966,204.4744793,3.259990492,57.93347235,63.07511099,40.43973097,0,0,1,2
2022-02-23 00:00:00,3972,1269,1364,0.431569649,195.6204514,3.345023936,46.51274928,65.8258194,45.84911382,0,0,2,2
2022-02-24 00:00:00,3080,1109,1153,0.477531562,185.6744951,3.117404941,45.37648207,65.91537543,46.42888316,0,0,3,2
